CABANG;PROPINSI;NO ORDER;TANGGAL;SUMBER;SERIES;HARGA JUAL;DISKON;JENIS BAYAR
FKH AMUNTAI;KALIMANTANSELATAN;BTDAMT220500022;12-May-22;OFFLINE;VARIO 160;26.017.000;0;TUNAI
FKH BONTANG;KALIMANTANTIMUR;BTDBTA220500028;17-May-22;OFFLINE;SCOOPY;23.820.000;0;TUNAI
FKH MBAY;NUSATENGGARATIMUR;BTDMBY220500006;12-May-22;OFFLINE;BEAT;19.871.500;0;TUNAI
FKH SURABAYA;JAWATIMUR;BTDSBY220500014;12-May-22;OFFLINE;PCX160;35.977.000;300.000;TUNAI
FKH PANGKAL PINANG;KEPULAUANBANGKABELIT;BTDPGK220500027;13-May-22;OFFLINE;VARIO 160;28.174.749;4.749;TUNAI
FKH SUNGAI LIAT;KEPULAUANBANGKABELIT;BTDSNL220500023;12-May-22;OFFLINE;VARIO 160;30.590.000;0;TUNAI
FKH KENDARI;SULAWESITENGGARA;BTDKDI220500043;13-May-22;OFFLINE;VARIO 125;23.480.000;0;TUNAI
FKH MAKASSAR;SULAWESIBARAT;BTDMKS220500061;12-May-22;OFFLINE;CBR 150R;36.840.000;740.000;TUNAI
FKH SURABAYA;JAWATIMUR;BTDSBY220500018;13-May-22;OFFLINE;SCOOPY;22.761.000;0;TUNAI
FKH BANGLI;BALI;BTDBGL220500023;13-May-22;OFFLINE;VARIO 160;29.300.000;200.000;TUNAI
FKH MAMUJU;SULAWESIBARAT;BTDMMJ220500012;14-May-22;OFFLINE;SUPRA GTR 150;25.280.000;10.000;TUNAI
FKH KLUNGKUNG;BALI;BTDKLG220500021;13-May-22;OFFLINE;GENIO;19.300.000;500.000;TUNAI
FKH CIANJUR;JAWABARAT;BTDCJR220500014;13-May-22;OFFLINE;VARIO 160;26.450.000;600.000;TUNAI
FKH MANNA;BENGKULU;BTDMNA220500008;13-May-22;OFFLINE;REVO;15.450.000;300.000;TUNAI
FKH CIBEBER;JAWABARAT;BTDCBB220500007;13-May-22;OFFLINE;ADV 150;34.650.000;1.200.000;TUNAI
FKH MALINAU;KALIMANTANUTARA;BTDMLU220500019;13-May-22;OFFLINE;SUPRA GTR 150;26.440.000;300.000;TUNAI
FKH PALOPO;SULAWESISELATAN;BTDPLP220500035;13-May-22;OFFLINE;VARIO 160;26.530.000;830.000;TUNAI
FKH SANGATTA UTARA;KALIMANTANTIMUR;BTDSGT220500026;13-May-22;OFFLINE;SUPRAX125;21.410.000;0;TUNAI
FKH KENDARI;SULAWESITENGGARA;BTDKDI220500047;14-May-22;OFFLINE;BEAT;20.090.000;0;TUNAI
FKH SUMBAWA;NUSATENGGARABARAT;BTDSBW220500034;13-May-22;OFFLINE;BEAT;19.495.000;0;TUNAI
FKH TERNATE;MALUKUUTARA;BTDTTE220500062;14-May-22;ONLINE;BEAT;20.100.000;100.000;TUNAI
FKH TERNATE;MALUKUUTARA;BTDTTE220500063;14-May-22;ONLINE;BEAT;20.100.000;100.000;TUNAI
FKH TERNATE;MALUKUUTARA;BTDTTE220500066;14-May-22;ONLINE;BEAT;20.100.000;100.000;TUNAI
FKH NUNUKAN;KALIMANTANUTARA;BTDNUK220500027;13-May-22;ONLINE;GENIO;21.320.000;0;TUNAI
FKH SUMBAWA;NUSATENGGARABARAT;BTDSBW220500045;13-May-22;OFFLINE;BEAT;19.495.000;0;TUNAI
FKH KENDARI;SULAWESITENGGARA;BTDKDI220500044;14-May-22;ONLINE;CB150R;31.110.000;1.500.000;TUNAI
FKH KENDARI;SULAWESITENGGARA;BTDKDI220500049;14-May-22;OFFLINE;VARIO 125;24.920.000;0;TUNAI
FKH SURABAYA;JAWATIMUR;BTDSBY220500019;14-May-22;OFFLINE;VARIO 160;27.436.000;600.000;TUNAI
FKH BONE;SULAWESISELATAN;BTDBNE220500061;13-May-22;OFFLINE;BEAT;19.760.000;200.000;TUNAI
FKH TANGERANG;BANTEN;BTDTGR220500081;14-May-22;OFFLINE;REVO;17.524.000;4.000;TUNAI
FKH SURABAYA;JAWATIMUR;BTDSBY220500020;18-May-22;OFFLINE;SCOOPY;22.761.000;0;TUNAI
FKH PRINGSEWU;LAMPUNG;BTDPSW220500031;14-May-22;OFFLINE;SUPRA GTR 150;25.008.000;758.000;TUNAI
FKH TUAL;MALUKU;BTDTUL220500005;13-May-22;OFFLINE;ADV 150;45.995.000;1.995.000;TUNAI
FKH MADIUN;JAWATIMUR;BTDMDN220500027;14-May-22;OFFLINE;VARIO 160;30.545.000;600.000;TUNAI
FKH PANGKAL PINANG;KEPULAUANBANGKABELIT;BTDPGK220500030;14-May-22;OFFLINE;VARIO 160;27.890.000;40.000;TUNAI
FKH MAJENE;SULAWESIBARAT;BTDMJN220500017;17-May-22;OFFLINE;SCOOPY;22.310.000;0;TUNAI
FKH MAJENE;SULAWESIBARAT;BTDMJN220500018;14-May-22;OFFLINE;SCOOPY;22.310.000;0;TUNAI
